district,district_alt,district_id,school,school_id,type_x,street,city,state,zip,gradespan,enrollment,hdphone,url,type_special,year,type_y,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,len_str,e_pct_abc,e_pct_ab,e_pct_cd,e_pct_f,m_pct_abc,m_pct_ab,m_pct_cd,m_pct_f,sc_pct_abc,sc_pct_ab,sc_pct_cd,sc_pct_f,act_avg_english_score,act_avg_reading_score,act_avg_math_score,act_avg_science_score,act_avg_writing_score,act_avg_composite_score,pct_act,pct_college,pct_career,pct_cte,pct_wbl,pct_car_rdy,pct_met_prog,gpercent_overall,gpercent_race_w,gpercent_race_b,gpercent_race_h,gpercent_race_i,gpercent_race_a,dropout_rate_curr_yr,tchreturn3yr_avg_pct_curr_yr,tchadvdegree_pct_curr_yr,tchinexperienced_pct_curr_yr,tchsalary_avg_curr_yr,prime_instruct_time_curr_yr,gifted_pct_curr_yr,pct78hs_credit_curr_yr,princ_super_yrs_curr_yr,tech_pct_class_wireless_curr_yr,tech_oneto_one_curr_yr,retained_pct_curr_yr,chronic_absenteeism_rate_x,studentsin_poverty_pct_curr_yr,expendfor_instruct_pct_curr_yr,admin_salary_curr_yr,total_ppe_curr_yr,chronic_absenteeism_rate_y,n_total_di,n_total_el,par_child_feels_safe,par_tch_stop_bully,par_num_responses,tch_i_feel_safe,tch_rules_enforced,tch_num_responses,ocr_firearm_num,ocr_rape,ocr_sex_assault,ocr_robw_weapon,ocr_robw_firearm,ocr_rob_no_weapon,ocr_phys_attachw_weapon,ocr_phys_attackw_firearm,ocr_phys_attach_no_weapon,ocr_threat_phys_attachw_weapon,ocr_threat_phys_attackw_firearm,ocr_threat_phys_attach_no_weapon,ocr_in_school_suspension,ocr_out_of_school_suspension,ocr_expelled,ocr_arrests_referrals,ocr_bully_harass,ocr_violent_all,ocr_nonviolent_all,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,gender_missing,pupils_in_poverty,all_other_races,percent_female,percent_male,percent_gender_missing,percent_black_aa,percent_white,percent_all_other_races,lat,lon
Abbeville County School District,Abbeville 60,160999,Abbeville High School,160001,H,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,,2018,H,,,,,,,,,59.7,40.3,33.599999999999994,26.1,81.3,63.4,23.9,12.7,46.3,33.599999999999994,18.7,34.3,15.6,17.0,17.7,17.5,5.6,17.1,24.6,30.3,68.0,13.1,6.6,61.5,,87.313432836,92.424242424,81.25,-1.0,,-1.0,3.3,93.8,57.6,5.9,45955.0,92.2,0.0,,4.0,100.0,50.0,3.4,1.2,67.36,,,,1.2,,,60.0,45.8,25.0,97.2,97.1,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,0.0,6.0,468,212,256,208,235,0.0,,25,45.2991452991453,54.70085470085471,0.0,44.44444444444444,50.21367521367522,5.3418803418803416,34.18729295,-82.37512602814299
Abbeville County School District,Abbeville 60,160999,Abbeville High School,160001,H,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,,2019,H,,,,,,,,,67.7,44.1,33.8,22.0,80.3,70.1,18.9,11.0,55.9,36.2,28.4,26.8,,,,,,,23.0,38.1,79.6,22.1,5.3,68.1,,84.962406015,87.878787879,81.538461538,-1.0,,-1.0,1.7,91.9,65.6,0.0,51193.0,92.3,0.0,,5.0,100.0,0.0,1.5,20.9,66.09,,76236.0,11184.0,,,,81.3,75.1,17.0,96.6,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,93.0,0.0,0.0,1.0,0.0,0.0,464,232,232,215,227,0.0,,22,50.0,50.0,0.0,46.33620689655172,48.922413793103445,4.741379310344827,34.18729295,-82.37512602814299
Abbeville County School District,Abbeville 60,160999,Abbeville High School,160001,H,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,,2019,H,,,,,,,,,67.7,44.1,33.8,22.0,80.3,70.1,18.9,11.0,55.9,36.2,28.4,26.8,,,,,,,23.0,38.1,79.6,22.1,5.3,68.1,,84.962406015,87.878787879,81.538461538,-1.0,,-1.0,1.7,91.9,65.6,0.0,51193.0,92.3,0.0,,5.0,100.0,0.0,1.5,20.9,66.09,,76236.0,11184.0,,,,81.3,75.1,17.0,96.6,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,93.0,0.0,0.0,1.0,0.0,0.0,464,232,232,215,227,0.0,,22,50.0,50.0,0.0,46.33620689655172,48.922413793103445,4.741379310344827,34.18729295,-82.37512602814299
Abbeville County School District,Abbeville 60,160999,Abbeville High School,160001,H,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,,2017,H,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,88.13559322,89.285714286,87.5,-1.0,-1.0,-1.0,2.5,,,,46205.0,,1.2,-1.0,3.0,,,3.9,,64.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,209,266,225,235,,,15,44.0,56.00000000000001,,47.368421052631575,49.47368421052632,3.1578947368421053,34.18729295,-82.37512602814299
Abbeville County School District,Abbeville 60,160999,Abbeville High School,160001,H,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,,2021,H,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,42.5,67.7,33.1,2.4,52.0,,88.188976378,88.235294118,87.272727273,-1.0,,-1.0,0.4,94.9,67.6470588235294,11.8,51231.72375,,15.4,,1.0,100.0,100.0,1.1,14.7,66.3,51.9,80294.0,,14.7,42.0,5.0,87.2,51.1,47.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0,0.0,0.0,0.0,0.0,0.0,441,222,219,213,206,0.0,293.0,22,50.34013605442177,49.65986394557823,0.0,48.29931972789115,46.71201814058957,4.988662131519274,34.18729295,-82.37512602814299
Abbeville County School District,Abbeville 60,160999,Abbeville High School,160001,H,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,,2020,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.486238532,84.0,85.185185185,-1.0,,-1.0,0.2,91.9,60.0,0.0,51261.0,,15.3,,6.0,100.0,0.0,2.7,15.0,67.6,50.9,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,79.0,0.0,0.0,1.0,0.0,1.0,438,221,217,211,206,0.0,,21,50.456621004566216,49.54337899543379,0.0,48.17351598173516,47.03196347031963,4.794520547945205,34.18729295,-82.37512602814299
Abbeville County School District,Abbeville 60,160999,Dixie High School,160003,H,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,,2018,H,,,,,,,,,68.7,50.6,25.3,24.1,75.9,63.900000000000006,18.0,18.1,65.1,56.6,14.4,22.9,18.4,20.0,20.1,20.0,6.1,19.8,50.0,57.8,81.3,6.3,0.0,79.7,,78.313253012,80.0,72.222222222,,,,1.5,91.4,58.6,0.0,48022.0,94.7,6.2,,7.0,100.0,50.0,1.6,9.8,52.49,,,,9.8,,,94.4,72.2,36.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,1.0,425,201,224,54,361,0.0,,10,47.294117647058826,52.70588235294118,0.0,12.705882352941176,84.94117647058823,2.3529411764705883,34.328243,-82.387977
Abbeville County School District,Abbeville 60,160999,Dixie High School,160003,H,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,,2019,H,,,,,,,,,65.3,41.6,34.7,23.8,69.3,48.5,37.6,13.9,53.9,38.2,32.5,32.4,,,,,,,23.5,38.8,84.7,17.6,11.8,76.5,,81.730769231,82.142857143,83.333333333,-1.0,,,2.0,91.6,62.1,0.0,49858.0,92.5,9.4,50.0,8.0,100.0,100.0,2.8,13.9,51.26,,76236.0,10090.0,,,,91.6,75.0,36.0,100.0,100.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,71.0,0.0,0.0,1.0,0.0,6.0,432,199,233,51,370,0.0,,11,46.06481481481482,53.93518518518518,0.0,11.805555555555555,85.64814814814815,2.5462962962962963,34.328243,-82.387977
Abbeville County School District,Abbeville 60,160999,Dixie High School,160003,H,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,,2019,H,,,,,,,,,65.3,41.6,34.7,23.8,69.3,48.5,37.6,13.9,53.9,38.2,32.5,32.4,,,,,,,23.5,38.8,84.7,17.6,11.8,76.5,,81.730769231,82.142857143,83.333333333,-1.0,,,2.0,91.6,62.1,0.0,49858.0,92.5,9.4,50.0,8.0,100.0,100.0,2.8,13.9,51.26,,76236.0,10090.0,,,,91.6,75.0,36.0,100.0,100.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,71.0,0.0,0.0,1.0,0.0,6.0,432,199,233,51,370,0.0,,11,46.06481481481482,53.93518518518518,0.0,11.805555555555555,85.64814814814815,2.5462962962962963,34.328243,-82.387977
Abbeville County School District,Abbeville 60,160999,Dixie High School,160003,H,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,,2017,H,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,,,,,,,87.179487179,85.245901639,100.0,-1.0,,,4.3,,,,48668.0,,2.4,0.0,6.0,,,1.7,,54.2,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,203,219,72,344,,,6,48.1042654028436,51.8957345971564,,17.061611374407583,81.51658767772511,1.4218009478672986,34.328243,-82.387977
